gene	log2fc	p
Gm2245	-1.56322342172878	1
Gm17055	-1.56322342172878	1
Gm48619	-1.56322342172878	1
1700006J14Rik	-1.56322342172878	1
Gm57385	-1.56322342172878	1
Gm19265	-1.56322342172878	1
Gm15952	-1.56322342172878	1
Gm57342	-1.56322342172878	1
Majin	-1.56322342172878	1
Gm26652	-1.56322342172878	1
Gm57341	-1.56322342172878	1
Gm54030	-1.56322342172878	1
Gm14440	-1.56322342172878	1
Gm11769	-1.56322342172878	1
4932438H23Rik	-1.56322342172878	1
Rspo1	-1.54085560870032	0.298212937563053
Gm1604a	-1.52669754570366	0.33908717013441
Gm16845	-1.51431382124783	0.779644687114749
Il12a	-1.4976350801012	0.678318566409449
Kctd19	-1.4976350801012	0.703037507387046
Flt1	-1.49610922587024	0.00326269945664789
F730311O21Rik	-1.489222840285	1
Cabyr	-1.489222840285	1
Plcb4	-1.489222840285	1
Cd247	-1.489222840285	1
Gm20125	-1.489222840285	1
Meis1	-1.489222840285	1
Erg	-1.489222840285	1
Cmpk2	-1.48134641467437	0.000547941582163001
Lck	-1.47833452414227	0.903630987357796
Tmc5	-1.46368774817787	0.903630987357796
Penk	-1.46368774817787	1
Amigo3	-1.46368774817787	1
Zfp40	-1.46368774817787	1
Gm1123	-1.46368774817787	1
Htra1	-1.46368774817787	1
Gm32633	-1.45971884597492	0.0790637159785437
Gm56532	-1.45428905017562	0.644056320074324
Foxo4	-1.44292918801107	0.927668101942223
Myl4	-1.44292918801107	1
Csf3	-1.43394040478381	0.251813811843314
Tgm1	-1.42892233001719	0.0358226010651744
F730043M19Rik	-1.42892233001719	0.773594501715318
Gbp2	-1.4228478156075	0
Cxcl11	-1.42226782079789	0.000273726096083921
Arhgef37	-1.41122032828373	0.000858591881602066
Sptbn4	-1.41122032828373	0.782897571590767
Zmat1	-1.41122032828373	1
2810405F17Rik	-1.41122032828373	1
Gm56530	-1.41122032828373	1
Gm57109	-1.41122032828373	1
Slit3	-1.41122032828373	1
Gm57455	-1.41122032828373	1
Gm10602	-1.41122032828373	1
Gm56605	-1.41122032828373	1
Gpr174	-1.41122032828373	1
Mypop	-1.41122032828373	1
Nhsl1	-1.41122032828373	1
Gm16120	-1.41122032828373	1
Gm30835	-1.41122032828373	1
Gm47708	-1.41122032828373	1
Rab11fip4	-1.41122032828373	1
Gm49974	-1.41122032828373	1
Scrg1	-1.41122032828373	1
Gm57012	-1.41122032828373	1
Cfap69	-1.41122032828373	1
Grk4	-1.39657355231933	0.732131449602007
Gm56516	-1.3910424463461	0.291430223653007
Gm57477	-1.37879885059135	0.650850253632777
Gzmb	-1.37253986011967	0.155744896656578
Arap2	-1.36682620892528	0.291741363525881
Or2v1	-1.35677254426135	0.191214355853623
Scel	-1.35677254426135	0.756545893551792
Gm5577	-1.35677254426135	1
Cttn	-1.35677254426135	1
Gm36723	-1.35091981801592	0.228903643169281
Irgc1	-1.35091981801592	0.285555796538266
Gm57176	-1.34821053075793	0.450078886835968
Otud7b	-1.34083100039233	0.177427534923925
Ablim1	-1.34083100039233	1
Aste1	-1.3344047312329	0.510865393351884
Mrgpra2a	-1.32875816809176	0.865647171089093
Ccr9	-1.32875816809176	1
Trpt1	-1.32875816809176	1
Gm56740	-1.32875816809176	1
Nrarp	-1.32875816809176	1
Gm57462	-1.32221532222498	0.635489059658243
Gm10138	-1.31929783884269	0.894580767843349
Gm34086	-1.31168465473282	0.856937903802063
Gm39459	-1.30018901589499	0.0438568252166433
Gm54310	-1.30018901589499	1
Gm36640	-1.30018901589499	1
Gm29585	-1.30018901589499	1
Aspn	-1.30018901589499	1
Gm56638	-1.29862850190737	0.0287868837263427
Gm46430	-1.29192139991139	1
Ficd	-1.29192139991139	1
Txnl4b	-1.29192139991139	1
Gm5817	-1.28568944619987	0.863506509808202
D030016M11Rik	-1.28568944619987	0.97215206162303
Tomt	-1.28568944619987	1
Gbp2b	-1.28196669143714	0
Zfpm2	-1.28082369102806	0.97215206162303
Trim30c	-1.27691923657214	0.00023240811531986
Gm8797	-1.27691923657214	0.733237274750558
Gm57092	-1.27104267023547	0.765552328289907
Dpp4	-1.26683041894855	0.279096468644374
Siglecg	-1.26683041894855	0.758356845820149
Pgf	-1.26514206879579	0.798590298970466
Ccn1	-1.26119488427912	0.432990249397479
Il15ra	-1.25565061981849	0.0144117597387052
Ntng2	-1.25252258226467	0.14474920348419
Ikzf2	-1.24129532684142	0.699069796673729
D830025C05Rik	-1.24129532684142	0.86948286357108
Il4i1	-1.24129532684142	0.937167682422504
4930471E19Rik	-1.24129532684142	0.937167682422504
Rnf122	-1.24129532684142	0.99435045637469
Fcho1	-1.24129532684142	0.994566494511179
Cd55	-1.24129532684142	1
A630012P03Rik	-1.24129532684142	1
Gm56789	-1.24129532684142	1
Tcim	-1.24129532684142	1
Gm56607	-1.24129532684142	1
9330151L19Rik	-1.24129532684142	1
Chrna9	-1.24129532684142	1
Angptl2	-1.24129532684142	1
Omd	-1.24129532684142	1
Nnt	-1.24129532684142	1
Lamc2	-1.24129532684142	1
Crabp2	-1.24129532684142	1
Cd164l2	-1.24129532684142	1
Gm10484	-1.24129532684142	1
Slc24a5	-1.24129532684142	1
4930578M01Rik	-1.24129532684142	1
Meox1	-1.24129532684142	1
Fxyd7	-1.24129532684142	1
Vegfd	-1.24129532684142	1
Gm13919	-1.24129532684142	1
Gm56728	-1.24129532684142	1
Nr3c2	-1.24129532684142	1
4930423K06Rik	-1.24129532684142	1
Ttc21a	-1.24129532684142	1
Tead2	-1.24129532684142	1
Gm35315	-1.24129532684142	1
Fam171a1	-1.24129532684142	1
Gm39317	-1.24129532684142	1
Erp27	-1.24129532684142	1
Gm6169	-1.24129532684142	1
4930567H12Rik	-1.24129532684142	1
4933423P22Rik	-1.24129532684142	1
Gm56613	-1.24129532684142	1
Gm57066	-1.24129532684142	1
Gm56761	-1.24129532684142	1
Gm36159	-1.24129532684142	1
9230111E07Rik	-1.24129532684142	1
Rnf113a1	-1.24129532684142	1
Kdm4d	-1.24129532684142	1
S1pr4	-1.24129532684142	1
B430105G09Rik	-1.24129532684142	1
Gm13708	-1.24129532684142	1
3830403N18Rik	-1.24129532684142	1
Zbtb34	-1.24129532684142	1
Muc3	-1.24129532684142	1
Prickle1	-1.24129532684142	1
Gm56595	-1.24129532684142	1
Il2ra	-1.24129532684142	1
Nkapl	-1.24129532684142	1
Adamdec1	-1.24129532684142	1
Gm57295	-1.24129532684142	1
Gm10655	-1.24129532684142	1
Gm20633	-1.24129532684142	1
9130004C02Rik	-1.24129532684142	1
Zfp112	-1.24129532684142	1
Flt3	-1.24129532684142	1
Gpx7	-1.24129532684142	1
9030407P20Rik	-1.24129532684142	1
Tuba8	-1.24129532684142	1
Gm15965	-1.24129532684142	1
Radx	-1.24129532684142	1
Gm3550	-1.24129532684142	1
Gm42555	-1.24129532684142	1
Gm13270	-1.24129532684142	1
Ankrd42	-1.24129532684142	1
Ypel4	-1.24129532684142	1
Gm56922	-1.24129532684142	1
Aff2	-1.24129532684142	1
Gm4566	-1.24129532684142	1
Zfp27	-1.24129532684142	1
C920006O11Rik	-1.24129532684142	1
Gm12227	-1.24129532684142	1
Klri2	-1.24129532684142	1
Gm57013	-1.24129532684142	1
Gm43403	-1.24129532684142	1
Hc	-1.24129532684142	1
Klhl41	-1.24129532684142	1
Gm5475	-1.24129532684142	1
Gm45155	-1.24129532684142	1
Gal	-1.24129532684142	1
Themis	-1.24129532684142	1
Gm30108	-1.24129532684142	1
Gm10827	-1.24129532684142	1
Gata3	-1.24129532684142	1
Gpr4	-1.24129532684142	1
Nebl	-1.24129532684142	1
Spns3	-1.24129532684142	1
Gm35082	-1.24129532684142	1
Dgkb	-1.24129532684142	1
Tlr12	-1.24129532684142	1
Sult2a2	-1.24129532684142	1
Thsd1	-1.24129532684142	1
Trbv1	-1.24129532684142	1
Cfap74	-1.24129532684142	1
Ocstamp	-1.22835627113392	0.0985887291052522
Cd177	-1.22639645046208	0.0012008088539316
Eaf2	-1.21857525034133	0.265010263790766
Arhgef18	-1.21704778059474	0.678884001940053
Gm57053	-1.2109216777979	0.773594501715318
Gm50394	-1.20652990868074	0.247515792598693
Gm50255	-1.2047694508163	0.600641842864555
Cnn3	-1.2000726641149	0.00579591970479861
Il2rb	-1.19549163722829	0.97215206162303
Rnf144a	-1.19376695675883	0.0056591379023067
Cxcr5	-1.18882790694728	0.733237274750558
E230025N22Rik	-1.18882790694728	1
Rhox5	-1.18471179847505	0.795036911034271
Per3	-1.17989478217727	1
Gm26901	-1.17989478217727	1
Gm44710	-1.17418113098288	0.950747460639301
Gbp5	-1.171436304062	7.8934546503262e-09
Lmo1	-1.16729474539764	0.412469396472796
Sla2	-1.16729474539764	1
Cdnf	-1.16729474539764	1
Gm43462	-1.16729474539764	1
Hectd2	-1.16729474539764	1
Csf2	-1.16729474539764	1
Cavin2	-1.16186085934701	0.733237274750558
Map1b	-1.15556545281553	0.93489800932044
Nupr1l	-1.14818592244994	1
Gm4890	-1.14818592244994	1
Cd34	-1.14818592244994	1
Gm47162	-1.14818592244994	1
Slc25a27	-1.14818592244994	1
Cd7	-1.14818592244994	1
Brdt	-1.14818592244994	1
Shc4	-1.14818592244994	1
Il12rb2	-1.13438012292491	0.274833082965073
Gm11476	-1.13438012292491	0.811219704035476
Nsl1	-1.13438012292491	1
Cxcl10	-1.13193228345598	0.000255682960327388
A130014A01Rik	-1.128820597583	0.532277368750201
Amotl2	-1.11576444475756	1
Gm57256	-1.11576444475756	1
Gm57314	-1.11576444475756	1
Gm45051	-1.11576444475756	1
Gm807	-1.11576444475756	1
Inhba	-1.1119300370761	0.00135804637757145
Amer1	-1.09927632196899	1
Slit2	-1.09927632196899	1
4921509O07Rik	-1.09544446037796	0.675491195845266
Cish	-1.09419103280921	0.0497790434656595
4833407H14Rik	-1.09080370031397	0.00271055427940655
ENSMUSG00000079794	-1.08929223339637	0.535293436364169
Gpr137c	-1.08929223339637	1
Gm56912	-1.08929223339637	1
Gm33104	-1.08929223339637	1
Ppp1r1c	-1.08929223339637	1
Gm12258	-1.08929223339637	1
Ace	-1.08632066686508	3.62190365091881e-07
Gm56642	-1.08564445638122	0.269119064164304
Fap	-1.08456982315397	0.824553082357147
Adgrg5	-1.08198743277314	0.0880661513823205
Rnd1	-1.07779659455854	0.733237274750558
Skap1	-1.07418534100616	0.981846524809509
Gm56955	-1.06796372395585	0.0505394496909122
Rnasel	-1.05834759396494	3.08014602656836e-07
4933433G15Rik	-1.05758337366903	0.496644262411917
Gm46224	-1.04956595508076	9.51292557379687e-08
Clec1a	-1.04865024889902	0.93893819383199
Srd5a1	-1.04865024889902	1
Cfap91	-1.04865024889902	1
Gm34643	-1.04865024889902	1
Sult2b1	-1.04865024889902	1
Gm56834	-1.04865024889902	1
Gm49189	-1.04865024889902	1
9530052E02Rik	-1.04865024889902	1
Usp20	-1.04865024889902	1
Tvp23a	-1.04865024889902	1
6430550D23Rik	-1.04865024889902	1
Plet1	-1.04865024889902	1
D330050I16Rik	-1.04865024889902	1
1700120C14Rik	-1.04865024889902	1
Gm56665	-1.04865024889902	1
Mroh2a	-1.04865024889902	1
Creb3l3	-1.04865024889902	1
Nipal1	-1.04865024889902	1
Klk9	-1.04865024889902	1
Gm47644	-1.04865024889902	1
Pafah2	-1.04865024889902	1
Ifng	-1.04865024889902	1
ENSMUSG00000121508	-1.04865024889902	1
Gm56890	-1.04865024889902	1
Zap70	-1.04865024889902	1
Cc2d2a	-1.04865024889902	1
Ucp1	-1.04865024889902	1
Doc2g	-1.04865024889902	1
Adcy4	-1.04865024889902	1
Samd15	-1.04865024889902	1
5031434O11Rik	-1.04865024889902	1
Ctse	-1.03385324697094	0.00762505360998703
Gm33370	-1.03270870503	0.614864850105585
Gm57206	-1.02979122164771	1
Mocs3	-1.02979122164771	1
Asb1	-1.02979122164771	1
Isg20	-1.02827828288939	0
Dach1	-1.02789168873222	0.617753442665855
1700012B09Rik	-1.02717052148857	0.391553692319766
Gm57355	-1.01890290550497	1
Fscn1	-1.01890290550497	1
Tnfaip6	-1.01847802108402	8.25907591754045e-05
Scnn1a	-1.01181348071865	0.50120148817473
Ppm1l	-1.01181348071865	0.935036573322681
Dmkn	-1.01147270002948	0.00232619719028106
Slc37a4	-1.00683007320439	0.997751726100539
Eml6	-1.00683007320439	1
Kynu	-1.00683007320439	1
Gbp3	-1.00268439494684	8.58554238049761e-08
Gm13166	-1.00028722733762	1
Cyp2ab1	-0.996182829004886	0.942048653692349
Galnt3	-0.996182829004886	1
4930404I05Rik	-0.996182829004886	1
4933412E12Rik	-0.978260921007625	0.550644958848491
Ccdc138	-0.978260921007625	0.770522556219053
Cacnb2	-0.978260921007625	1
Gimap7	-0.978260921007625	1
Sigirr	-0.978260921007625	1
Nherf2	-0.978260921007625	1
4833419F23Rik	-0.978260921007625	1
Gm11175	-0.978260921007625	1
Mterf1b	-0.978260921007625	1
Inka2	-0.978260921007625	1
A730061H03Rik	-0.978260921007625	1
Nat8l	-0.978260921007625	1
Frat1	-0.978260921007625	1
Gm13523	-0.978260921007625	1
Cpt1b	-0.978260921007625	1
Gm13383	-0.978260921007625	1
Tubb2b	-0.978260921007625	1
Il13ra1	-0.975586786709297	3.17426623410164e-10
Ifi47	-0.967825468341311	0
Ift80	-0.967120363402423	0.832820970990272
Nos3	-0.967120363402423	0.967106466420424
Gm1647	-0.963761351312509	0.885945041288206
Gm47096	-0.961187407648682	0.960014698231356
Upp1	-0.957787450267876	1.51487467731261e-10
ENSMUSG00000121307	-0.957502360840827	1
Mx2	-0.955299772564311	0.101689720772283
Sell	-0.95463033956038	0
Klrb1f	-0.947564123784706	0.956443004656849
Csta3	-0.945310499206336	0.789006255737007
Strip2	-0.941735044982509	0.901771572759256
Tmc8	-0.941735044982509	1
Gm56509	-0.941735044982509	1
Gm57399	-0.941735044982509	1
Zfp382	-0.941735044982509	1
Dkk2	-0.941735044982509	1
Ggnbp1	-0.941735044982509	1
B930046K06Rik	-0.941735044982509	1
Gm16740	-0.941735044982509	1
Efnb1	-0.941735044982509	1
Gm56816	-0.941735044982509	1
Gimap8	-0.941735044982509	1
Gm34961	-0.941735044982509	1
Mex3b	-0.941735044982509	1
4921511C10Rik	-0.941735044982509	1
Cdo1	-0.941735044982509	1
Tln2	-0.941735044982509	1
Nudt17	-0.941735044982509	1
Acod1	-0.940571723940618	0
Ifit3b	-0.934633988607365	0.0368839525230506
Htr7	-0.932191272311638	0.0174173006043648
Ikzf3	-0.929351320526677	0.829532693887053
Mtfr2	-0.929351320526677	1
F11r	-0.929351320526677	1
4930532G15Rik	-0.929351320526677	1
Ddhd1	-0.926346151969082	0.00740976560931768
Gm42047	-0.924105150960718	0.786893186084434
Gprc5a	-0.923119366815163	0.856937903802063
Gimap4	-0.919367231954054	0.852808525983952
Gm34589	-0.919367231954054	1
6330408M09Rik	-0.919367231954054	1
Gm20536	-0.919367231954054	1
Ly6a	-0.917941451733812	1.51047788499818e-05
Mirt1	-0.917632180583308	1.73360022252696e-06
Sirt4	-0.913720668812913	0.947771972099065
4930523C07Rik	-0.911146725149086	0.821493193689952
Zfp628	-0.911146725149086	1
5330438D12Rik	-0.904260339563846	1
Rufy4	-0.904260339563846	1
Gm17251	-0.904260339563846	1
Slc14a1	-0.904260339563846	1
A930037H05Rik	-0.904260339563846	1
4732419C18Rik	-0.904260339563846	1
F5	-0.900682668689127	0.000327426653936617
Il1bos	-0.899321289752297	0.0298791002387216
Cep78	-0.896647155453971	1
Zfp39	-0.893372023421109	1
Herc6	-0.890130010728958	2.40933359858467e-09
Gbp4	-0.888088065466197	6.90704985666685e-08
F2rl2	-0.885151516616144	1
4833427F10Rik	-0.885151516616144	1
Shld3	-0.885151516616144	1
Ramp3	-0.883743322223334	0.115754628140732
Adora3	-0.88070561158495	0.482362458680518
Gm56698	-0.878725247456708	1
E230016M11Rik	-0.878725247456708	1
2010013B24Rik	-0.876883900632541	0.743760359158993
Gm34983	-0.87356354234093	1
Efcab2	-0.87356354234093	1
Zbtb37	-0.87356354234093	1
Arid5a	-0.873086959710085	1.74461197877011e-06
Hspa2	-0.86932654945446	0.764259013444898
ENSMUSG00000121353	-0.86932654945446	1
Gm57325	-0.868078003257201	0.658766527251324
Gm56581	-0.86578619174921	1
Ifit1	-0.864341329294053	0.004810908106336
Tmem150b	-0.860205159485911	1
Esr1	-0.859047762680243	0.62781435829499
Spatc1	-0.857966687289911	1
Macrod2	-0.856005170956625	0.4759518864193
Il12rb1	-0.856005170956625	1
Jmjd7	-0.85427220373217	1
Plac8	-0.853362381169662	0
Plagl1	-0.852730038923765	1
Gm4117	-0.851348808525404	1
Slc35e2	-0.850104569516942	1
Irgm2	-0.849527606885421	0.00872956928129443
Steap4	-0.842559639891674	0.045051613085193
C530005A16Rik	-0.826257827562573	0.97215206162303
4933406C10Rik	-0.826257827562573	0.97215206162303
Gm44850	-0.826257827562573	0.97215206162303
Cmah	-0.826257827562573	0.996779000064319
Arf4os	-0.826257827562573	1
Ptpdc1	-0.826257827562573	1
Gm57078	-0.826257827562573	1
Gm15345	-0.826257827562573	1
